Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,Fee_y,NonAdopted
2,1,266,266,3,1,7,0,2,1,1,1,2,1,2,1,41401,0,1,0
1,2,307,0,2,1,2,0,2,1,2,2,2,1,1,0,41401,0,0,0
2,2,266,0,2,6,7,0,2,1,2,1,2,1,1,0,41401,0,0,0
1,3,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41401,0,0,1
1,2,307,307,2,1,4,7,3,1,2,2,2,1,6,0,41327,0,0,0
2,12,299,0,2,3,6,7,2,2,1,2,1,1,2,0,41324,0,0,1
2,4,266,306,2,1,7,0,2,1,1,1,2,1,1,0,41401,0,0,0
1,120,307,0,1,1,2,7,3,1,3,3,3,1,1,0,41401,0,0,1
1,3,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41326,0,0,1
2,1,265,0,3,2,5,7,1,2,2,2,2,1,4,0,41326,0,0,1
1,36,109,0,2,2,3,4,3,2,1,1,2,1,1,0,41326,0,0,0
2,3,266,0,2,1,2,7,1,1,2,1,2,1,1,0,41326,0,0,1
2,60,285,0,1,3,0,0,2,2,1,1,2,1,1,0,41326,0,0,1
2,1,266,0,2,2,5,7,2,1,2,1,3,1,1,0,41326,0,0,0
1,3,307,0,3,1,2,7,2,2,1,1,2,1,3,150,41326,0,1,0
1,36,189,0,1,1,5,0,3,1,1,1,1,1,1,0,41326,0,0,0
1,12,206,0,1,1,6,7,2,2,1,2,2,1,1,400,41332,0,1,0
2,1,266,0,3,1,6,7,1,1,2,3,2,1,4,0,41401,0,0,0
1,0,307,307,3,1,2,3,3,1,3,3,3,1,2,0,41326,0,0,0
2,1,265,0,1,1,7,0,1,2,2,2,2,1,1,0,41326,1,0,0
1,5,70,18,1,5,7,0,2,1,1,1,1,1,1,0,41401,0,0,0
1,24,103,307,2,1,2,0,2,2,3,3,3,1,1,0,41401,0,0,0
1,3,307,0,1,2,0,0,2,2,1,1,2,1,1,0,41326,0,0,0
1,3,307,0,2,2,0,0,1,1,3,3,3,1,3,0,41332,0,0,1
1,4,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41335,0,0,1
2,3,266,0,3,1,7,0,2,2,3,3,3,1,2,0,41326,0,0,0
2,1,265,0,2,1,7,0,1,2,2,2,2,1,5,0,41332,0,0,0
2,8,292,266,1,2,5,0,2,1,1,1,2,1,1,50,41326,0,1,0
2,2,303,266,3,1,2,0,2,1,2,2,2,1,2,0,41332,0,0,1
1,32,307,307,3,1,4,5,2,1,1,1,1,1,2,0,41326,0,0,1
1,3,78,307,3,1,2,0,3,1,1,1,2,1,3,0,41326,0,0,0
2,12,265,0,1,1,0,0,2,2,2,2,2,1,1,0,41326,0,0,0
1,4,307,36,2,1,2,7,2,2,1,1,1,1,1,0,41326,0,0,0
1,2,307,0,1,1,2,0,2,1,2,3,2,1,1,0,41326,0,0,0
2,7,254,303,2,1,4,7,2,1,1,1,2,1,1,0,41326,0,0,0
2,5,264,0,1,4,0,0,2,3,2,1,2,1,1,100,41401,0,1,0
2,2,265,0,2,6,7,0,2,2,1,1,2,1,2,0,41401,0,0,0
1,60,10,0,2,1,7,0,2,1,1,1,1,1,1,0,41401,0,0,0
2,4,265,247,3,1,3,7,2,2,2,2,2,1,5,0,41401,0,0,0
1,120,20,195,1,2,0,0,2,1,1,1,2,1,2,0,41326,0,0,0
1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,0,0
2,17,266,0,2,1,2,7,1,1,3,3,1,1,1,0,41326,0,0,0
2,2,266,0,3,4,5,7,2,1,2,2,2,1,2,0,41401,0,0,0
1,48,307,307,1,1,2,0,2,2,1,1,1,1,1,0,41326,0,0,0
1,4,307,0,2,1,7,0,2,1,1,2,2,1,1,0,41332,0,0,0
2,12,305,0,2,3,5,0,2,2,3,1,1,1,1,0,41326,0,0,0
2,12,285,292,1,1,7,0,3,3,2,1,2,1,1,0,41326,0,0,0
2,3,266,0,2,6,7,0,2,1,1,1,2,1,1,0,41401,1,0,0
1,1,307,0,3,1,2,3,2,2,2,2,2,1,3,0,41326,0,0,1
1,36,78,0,2,1,2,0,3,2,3,3,3,2,1,0,41401,0,0,0
1,12,307,0,2,5,7,0,2,1,3,3,3,1,1,0,41326,1,0,1
1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,80,41327,0,1,1
1,36,78,0,1,1,0,0,2,1,1,1,1,1,1,0,41330,0,0,0
2,1,265,0,3,1,6,7,2,2,2,2,2,1,3,0,41401,0,0,0
2,1,283,0,2,4,7,0,1,1,2,2,2,1,1,0,41401,0,0,0
1,0,307,0,2,1,7,0,2,2,3,3,3,1,5,0,41401,0,0,0
1,2,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41326,0,0,0
1,2,307,0,3,1,4,7,2,1,1,1,2,1,3,30,41326,0,1,0
1,2,307,307,3,2,0,0,2,2,2,2,2,1,3,0,41326,0,0,1
2,36,306,0,3,1,3,6,2,2,1,1,1,1,5,0,41326,0,0,1
1,3,307,0,3,2,4,5,2,1,3,3,3,1,5,0,41327,0,0,1
1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,41326,0,0,0
1,1,307,0,2,2,5,7,3,1,3,1,3,1,1,0,41401,0,0,0
2,2,266,0,2,1,5,0,2,1,2,1,2,1,1,0,41326,0,0,0
2,2,292,252,1,2,5,0,1,1,2,2,2,1,1,0,41401,0,0,0
1,2,307,0,2,1,2,0,2,1,1,1,2,1,1,80,41326,0,1,0
2,3,266,0,1,4,0,0,2,1,3,1,2,1,1,0,41401,0,0,1
1,17,307,0,1,1,0,0,2,2,1,1,1,1,1,150,41401,0,1,1
1,2,307,0,3,1,2,7,2,1,3,3,3,1,8,0,41401,0,0,0
2,48,299,0,1,1,2,7,3,1,1,1,2,1,1,20,41326,0,1,0
2,1,266,0,1,1,2,0,2,1,2,2,2,1,1,0,41326,0,0,0
2,5,266,264,2,1,7,0,2,2,2,2,2,1,1,150,41326,0,1,0
1,8,307,141,1,1,2,0,2,1,3,3,1,1,1,0,41326,0,0,0
1,4,307,307,2,7,0,0,1,1,1,1,1,1,1,0,41326,0,0,1
1,3,307,0,1,1,7,0,2,1,1,1,2,1,1,0,41326,0,0,0
2,72,266,0,1,1,7,0,2,1,1,1,1,1,1,0,41326,0,0,1
2,12,266,254,2,1,4,7,2,1,3,3,3,1,5,0,41325,0,0,1
1,12,307,0,2,1,2,0,2,2,2,1,2,1,1,0,41327,0,0,1
2,12,266,266,1,3,7,0,2,1,1,1,1,1,2,0,41401,0,0,1
1,22,20,0,1,2,5,7,2,1,1,1,2,1,1,0,41401,0,0,0
1,36,307,0,1,3,0,0,2,2,3,3,2,1,1,0,41326,0,0,1
1,2,307,0,1,5,0,0,2,2,3,3,2,1,1,0,41326,0,0,0
2,4,299,0,2,1,2,0,2,1,3,3,1,1,5,0,41336,0,0,1
1,12,307,0,2,7,0,0,2,2,1,1,2,1,1,0,41326,0,0,0
1,7,307,0,1,1,7,0,1,1,2,2,2,1,1,50,41326,1,1,1
1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,41401,0,0,0
1,3,307,0,2,2,7,0,1,1,2,1,3,1,3,0,41326,0,0,1
1,24,307,0,2,2,7,0,2,1,1,1,1,1,1,0,41326,0,0,1
1,1,307,0,2,2,0,0,2,3,2,2,2,1,1,0,41326,0,0,0
1,1,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41332,0,0,0
1,3,307,0,1,3,0,0,3,1,1,1,2,1,2,0,41326,0,0,0
2,5,266,0,1,1,7,0,1,1,1,2,3,1,1,0,41401,0,0,1
1,16,205,147,2,5,7,0,1,1,1,1,3,1,1,0,41401,0,0,0
2,2,266,0,1,3,5,7,2,1,1,1,2,1,1,0,41326,0,0,0
2,2,265,0,1,5,0,0,1,2,3,3,3,1,1,0,41327,0,0,1
1,7,205,178,1,2,0,0,2,1,1,1,3,1,1,0,41326,0,0,0
2,13,266,0,2,2,3,0,2,1,2,1,2,1,1,0,41326,0,0,1
1,3,307,0,1,1,7,0,2,1,1,1,1,1,1,0,41326,0,0,0
1,12,307,0,1,1,2,0,2,1,1,1,2,1,1,0,41326,0,0,1
2,3,266,0,1,1,7,0,1,1,1,1,2,1,1,0,41401,0,0,0
1,2,307,307,2,1,2,0,2,2,2,2,2,1,1,0,41326,0,0,1
2,10,266,0,2,4,0,0,2,1,1,1,1,1,1,0,41401,0,0,0
1,2,307,0,2,4,5,7,2,1,2,1,2,1,1,0,41326,0,0,0
1,2,307,0,1,1,2,5,2,1,2,2,2,1,1,0,41326,0,0,0
2,4,266,0,2,1,2,6,3,1,2,2,2,1,1,0,41401,0,0,0
1,60,109,307,1,2,4,7,2,2,1,1,1,1,1,0,41326,0,0,0
2,2,266,0,2,1,4,7,2,1,2,2,2,1,6,30,41326,0,1,1
2,12,266,0,2,2,3,5,2,1,1,1,1,1,1,0,41401,0,0,1
2,2,266,254,2,1,4,7,1,1,2,2,2,1,1,0,41326,0,0,0
2,0,292,299,3,2,5,0,2,1,2,2,2,2,3,0,41326,0,0,0
1,2,307,141,3,5,7,0,3,1,1,1,2,1,3,0,41326,1,0,0
2,6,266,0,2,3,7,0,2,1,2,1,1,1,1,0,41326,0,0,1
1,3,307,0,2,1,2,0,3,1,3,3,2,1,1,0,41326,0,0,0
1,1,307,0,2,1,0,0,2,2,2,1,2,1,1,0,41326,0,0,0
1,2,307,0,2,1,2,7,1,1,2,2,2,1,4,0,41327,0,0,0
2,3,265,0,1,4,7,0,2,2,2,2,2,1,1,50,41326,0,1,0
1,19,307,0,2,1,0,0,2,1,1,1,1,1,1,80,41326,0,1,1
2,11,266,0,2,1,4,7,2,1,1,1,1,1,1,50,41326,0,1,1
1,37,307,0,2,2,3,7,2,1,1,1,1,1,1,0,41326,0,0,1
2,4,288,285,2,1,7,0,1,3,2,2,3,1,1,250,41326,0,1,0
1,3,307,141,1,5,0,0,2,1,2,1,1,1,1,0,41401,0,0,0
1,6,307,0,1,1,2,5,2,1,1,1,1,1,1,0,41326,0,0,0
2,1,266,0,2,3,5,0,2,1,2,2,2,1,1,0,41326,0,0,0
1,5,307,0,1,1,2,0,2,1,3,3,3,1,1,0,41326,0,0,1
1,1,307,0,3,1,0,0,2,1,2,2,2,1,6,0,41326,0,0,0
2,7,266,0,1,1,7,0,2,1,2,1,2,1,1,0,41401,0,0,0
1,4,307,0,2,1,2,0,2,2,2,1,2,1,1,1,41401,0,1,1
2,1,266,0,2,1,2,5,2,1,2,2,2,1,1,0,41326,0,0,1
1,48,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,0,0
1,3,69,4,2,2,0,0,1,1,2,2,2,1,1,0,41330,0,0,0
1,2,307,0,1,1,2,7,2,2,1,1,2,1,1,0,41326,0,0,0
2,4,266,0,1,4,7,0,1,1,1,1,3,1,1,0,41401,0,0,0
1,22,205,0,2,5,7,0,2,1,1,1,2,1,1,0,41326,0,0,0
1,60,179,179,2,2,0,0,1,3,1,1,1,1,1,0,41326,0,0,0
1,1,218,205,3,1,5,7,2,2,2,2,2,1,4,0,41326,0,0,0
1,3,31,307,1,1,0,0,2,1,3,3,2,1,1,0,41326,0,0,0
2,3,266,265,2,1,4,7,2,1,2,1,2,1,4,0,41326,0,0,0
2,4,265,0,2,5,0,0,2,2,3,3,3,1,1,0,41401,1,0,0
2,13,285,265,2,1,6,0,2,2,1,1,2,1,1,0,41326,0,0,0
2,1,266,0,1,1,7,0,1,1,3,3,3,1,1,0,41327,0,0,0
1,5,141,0,2,1,0,0,2,2,1,1,2,1,1,0,41326,0,0,0
1,2,307,0,2,1,7,0,2,2,2,1,2,1,1,0,41326,0,0,0
2,1,266,0,3,1,7,0,2,2,2,2,2,1,3,0,41401,0,0,0
1,2,128,307,2,2,7,0,2,1,1,1,2,1,1,0,41326,1,0,0
1,36,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,0,0
1,2,307,0,2,1,2,0,2,1,1,1,2,1,1,0,41326,1,0,1
1,2,307,307,2,1,2,0,2,2,2,1,2,1,1,0,41326,0,0,0
2,2,266,0,2,1,7,0,2,1,2,1,2,1,1,0,41326,0,0,0
2,8,299,0,1,3,0,0,2,1,1,1,1,1,1,0,41326,0,0,0
2,2,265,0,2,1,6,7,2,2,1,1,2,1,1,0,41326,0,0,0
2,9,299,0,2,2,5,6,1,1,1,1,1,1,1,0,41401,0,0,0
2,6,266,299,2,6,0,0,2,1,3,3,3,1,1,0,41336,0,0,0
1,2,307,0,2,1,2,0,2,1,2,2,2,1,3,0,41336,0,0,0
1,18,20,307,2,2,7,0,2,1,1,1,1,1,1,0,41401,0,0,0
1,14,307,0,1,2,0,0,3,2,1,1,1,1,1,0,41336,0,0,0
2,3,266,0,1,1,7,0,1,1,2,2,2,1,2,0,41325,0,0,0
2,2,266,0,1,7,0,0,2,1,2,1,2,1,1,0,41401,0,0,0
1,1,307,307,3,1,2,7,3,1,2,1,2,1,20,50,41332,0,1,1
2,12,247,0,1,1,6,7,2,2,1,1,1,1,1,0,41326,0,0,1
2,12,266,300,2,1,2,0,2,1,2,3,1,1,1,0,41326,0,0,1
1,1,70,307,2,1,5,0,2,1,2,2,2,1,1,0,41326,0,0,0
2,9,266,0,1,1,6,7,2,1,1,1,1,1,2,0,41326,0,0,1
1,2,307,0,2,1,2,7,2,2,1,1,2,1,1,0,41326,0,0,0
2,2,265,265,3,6,7,0,1,2,2,2,2,1,4,0,41326,0,0,0
2,2,266,0,2,2,4,5,2,1,2,2,2,1,3,0,41401,0,0,0
1,3,307,0,2,2,0,0,2,1,3,3,3,1,1,0,41326,0,0,0
1,3,307,119,1,5,7,0,2,2,2,2,2,1,1,0,41327,0,0,0
2,6,266,0,2,4,0,0,1,1,1,1,1,1,1,200,41336,0,1,1
2,3,292,0,1,1,7,0,1,1,2,2,2,1,1,0,41401,0,0,0
1,24,307,307,3,1,2,0,2,1,2,2,1,1,2,0,41326,0,0,0
1,3,307,307,1,2,0,0,3,1,2,2,3,1,1,0,41401,0,0,0
1,24,307,307,2,2,0,0,2,1,1,1,1,2,1,20,41326,0,1,1
1,1,307,0,1,2,7,0,2,2,2,2,2,1,1,0,41326,0,0,0
1,2,307,103,2,1,2,0,2,2,2,1,2,1,1,250,41401,0,1,0
1,2,307,0,1,3,0,0,2,2,1,1,2,1,1,0,41326,0,0,0
1,7,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41401,0,0,0
2,3,264,0,1,1,3,0,1,3,2,2,2,1,1,150,41326,0,1,0
1,1,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41330,0,0,0
1,1,307,0,2,1,2,0,2,1,1,1,2,1,1,0,41326,0,0,0
1,55,20,0,1,1,4,7,2,1,1,1,1,1,1,0,41326,0,0,0
1,2,200,307,2,1,2,0,2,1,1,1,2,1,1,0,41326,0,0,0
1,3,307,0,2,1,2,0,2,2,1,1,1,1,1,0,41326,0,0,0
1,36,213,0,2,3,5,0,2,2,3,3,1,1,1,0,41326,0,0,0
2,1,265,0,2,1,4,7,2,3,2,1,2,1,1,0,41326,2,0,0
2,6,292,0,2,2,5,0,2,2,2,2,2,1,1,0,41326,0,0,1
2,6,265,266,2,2,5,0,2,2,2,2,2,1,1,0,41401,0,0,0
2,4,247,266,1,2,0,0,2,2,2,2,2,2,1,0,41326,0,0,0
1,2,307,218,2,2,7,0,2,2,1,1,2,1,1,0,41326,0,0,0
1,5,307,0,2,1,2,7,2,1,1,1,2,1,1,0,41401,0,0,0
2,20,265,0,1,1,6,7,3,2,2,1,2,1,1,0,41326,0,0,0
1,2,307,0,2,2,7,0,2,1,1,1,2,1,1,0,41401,0,0,0
1,7,307,0,1,2,7,0,2,2,1,3,3,1,1,0,41326,0,0,0
2,1,266,0,1,1,7,0,2,1,2,1,2,1,1,0,41326,0,0,0
1,2,307,0,2,1,2,0,2,2,1,1,2,1,2,0,41330,0,0,1
1,1,307,307,2,1,0,0,2,1,2,2,2,1,1,0,41332,0,0,0
2,28,248,264,1,1,0,0,3,3,1,1,2,1,1,0,41401,0,0,0
1,24,26,307,2,1,2,0,2,2,1,1,1,1,1,250,41326,0,1,1
1,2,307,0,2,1,2,7,2,1,2,1,2,1,2,0,41327,0,0,0
1,12,307,0,1,2,3,7,2,2,1,1,1,1,1,0,41326,0,0,1
2,4,266,0,1,1,2,4,2,1,2,2,2,1,1,0,41326,0,0,1
1,2,307,0,2,1,3,0,2,2,1,1,2,1,1,0,41326,0,0,0
2,2,265,0,1,4,0,0,1,1,1,1,2,1,1,0,41326,0,0,0
1,1,307,0,2,1,0,0,2,2,2,2,2,1,2,0,41336,0,0,0
1,1,307,0,2,1,2,7,1,1,2,2,2,1,1,0,41326,0,0,1
1,5,20,0,2,1,2,7,2,1,3,3,3,1,1,300,41326,0,1,0
2,22,265,0,2,1,0,0,2,2,1,1,1,1,1,0,41327,0,0,1
2,36,266,0,2,1,2,7,2,2,1,1,1,1,1,0,41332,0,0,1
1,36,213,218,2,7,0,0,2,2,1,1,1,1,1,0,41401,0,0,0
1,8,307,0,1,4,0,0,2,1,1,1,2,1,1,0,41401,0,0,1
1,10,307,0,2,7,0,0,2,1,2,1,1,1,1,0,41401,0,0,1
1,2,307,0,2,2,4,0,2,1,2,1,2,1,1,0,41326,0,0,1
2,2,265,0,1,1,7,0,1,2,2,2,2,1,1,0,41401,0,0,1
1,3,307,0,1,1,0,0,2,1,3,1,3,1,1,0,41326,0,0,1
1,3,307,0,2,1,7,0,2,1,2,2,2,1,1,0,41327,0,0,0
2,0,266,0,3,1,2,7,2,1,3,1,1,1,18,0,41326,0,0,1
1,60,205,0,2,1,7,0,1,2,3,1,1,1,1,0,41326,0,0,0
1,2,307,0,1,2,0,0,2,1,1,1,2,1,1,0,41401,0,0,0
1,2,307,0,3,2,6,7,2,1,2,2,2,1,6,0,41326,0,0,1
2,12,265,0,1,2,7,0,2,2,1,1,1,1,1,0,41326,0,0,0
1,1,307,307,2,1,2,0,2,2,2,1,2,1,1,0,41326,0,0,0
2,2,266,0,1,3,0,0,3,1,3,3,3,1,2,0,41327,0,0,0
2,2,266,0,3,7,0,0,2,1,2,1,2,1,3,0,41336,0,0,0
1,1,307,0,2,7,0,0,2,2,2,2,2,1,1,0,41330,0,0,0
1,24,307,0,2,7,0,0,3,1,3,3,1,2,1,0,41327,0,0,1
1,3,307,307,2,2,0,0,2,1,1,1,1,1,1,200,41326,0,1,1
2,2,266,266,3,1,6,7,2,1,2,1,2,1,4,0,41401,0,0,1
1,2,307,0,1,1,2,7,2,1,2,2,2,1,1,0,41326,0,0,0
2,12,265,0,1,1,0,0,1,2,3,3,3,1,1,0,41326,0,0,1
1,12,307,307,2,2,0,0,2,2,2,1,2,1,1,0,41327,0,0,1
1,1,307,0,1,2,0,0,2,1,1,1,2,1,1,0,41326,0,0,0
